name,ion,wl,flux,rms,I
PN15m   ,       HeI, 5876  ,  0.  , 0.  ,   0. 
PN15m   ,      [OI], 6300  ,  0.  , 0.  ,   0. 
PN15m   ,    [SIII], 6312  ,  0.  , 0.  ,   0. 
PN15m   ,      [OI], 6363  ,  0.  , 0.  ,   0. 
PN15m   ,     [NII], 6548  , 38.6 , 6.8 ,  38.4
PN15m   ,        HI, 6563  ,288.2 ,11.6 , 287. 
PN15m   ,     [NII], 6584  ,105.6 , 8.9 , 105.2
PN15m   ,       HeI, 6678  ,  0.  , 0.  ,   0. 
PN15m   ,     [SII], 6717  ,  0.  , 0.  ,   0. 
PN15m   ,     [SII], 6731  ,  0.  , 0.  ,   0. 
PN15m   ,       HeI, 6891  ,  0.  , 0.  ,   0. 
PN15m   ,     [ArV], 7005  ,  0.  , 0.  ,   0. 
PN15m   ,       HeI, 7065  ,  0.  , 0.  ,   0. 
PN15m   ,   [ArIII], 7135  ,  0.  , 0.  ,   0. 
PN15m   ,     [OII], 7320  ,  0.  , 0.  ,   0. 
PN15m   ,     [OII], 7330  ,  0.  , 0.  ,   0. 
PN15m   ,   [ArIII], 7751  ,  0.  , 0.  ,   0. 
PN15m   ,    [SIII], 9069  ,  0.  , 0.  ,   0. 
PN17m   ,     [OII], 3727  ,225.5 , 0.7 , 333.5
PN17m   ,       HeI, 3805  ,  0.  , 0.  ,   0. 
PN17m   ,        HI, 3835  ,  0.  , 0.  ,   0. 
PN17m   ,   [NeIII], 3869  ,  0.  , 0.  ,   0. 
PN17m   ,       HeI, 3889  , 31.6 , 0.3 ,  44.2
PN17m   ,[NeIII]/HI, 3968  ,  0.  , 0.  ,   0. 
PN17m   ,     [SII], 4070  ,  0.  , 0.  ,   0. 
PN17m   ,        HI, 4100  , 23.3 , 2.2 ,  30.3
PN17m   ,        HI, 4340  , 45.9 , 0.5 ,  55. 
PN17m   ,    [OIII], 4363  ,  0.  , 0.  ,   0. 
PN17m   ,       HeI, 4471  ,  0.  , 0.  ,   0. 
PN17m   ,      HeII, 4540  ,  0.  , 0.  ,   0. 
PN17m   ,      HeII, 4686  ,  0.  , 0.  ,   0. 
PN17m   ,HeI/[ArIV], 4712  ,  0.  , 0.  ,   0. 
PN17m   ,    [ArIV], 4740  ,  0.  , 0.  ,   0. 
PN17m   ,        HI, 4861  ,100.  , 3.2 , 100.1
PN17m   ,    [OIII], 4959  , 23.4 , 2.5 ,  22.7
PN17m   ,    [OIII], 5007  , 57.7 , 2.8 ,  54.8
PN17m   ,      HeII, 5411  ,  0.  , 0.  ,   0. 
PN17m   ,     [NII], 5755  ,  1.2 , 0.3 ,   0.9
PN17m   ,       HeI, 5876  , 26.1 , 2.9 ,  19.6
PN17m   ,      [OI], 6300  ,  0.  , 0.  ,   0. 
PN17m   ,    [SIII], 6312  ,  0.  , 0.  ,   0. 
PN17m   ,      [OI], 6363  ,  0.  , 0.  ,   0. 
PN17m   ,     [NII], 6548  , 54.6 , 0.4 ,  35.9
PN17m   ,        HI, 6563  ,443.8 , 1.2 , 290.8
PN17m   ,     [NII], 6584  ,163.7 , 0.7 , 106.9
PN17m   ,       HeI, 6678  ,  0.  , 0.  ,   0. 
PN17m   ,     [SII], 6717  , 51.2 , 0.7 ,  32.5
PN17m   ,     [SII], 6731  , 38.  , 0.6 ,  24.1
PN17m   ,       HeI, 6891  ,  0.  , 0.  ,   0. 
PN17m   ,     [ArV], 7005  ,  0.  , 0.  ,   0. 
PN17m   ,       HeI, 7065  ,  0.  , 0.  ,   0. 
PN17m   ,   [ArIII], 7135  , 13.4 , 0.4 ,   7.9
PN17m   ,     [OII], 7320  ,  0.  , 0.  ,   0. 
PN17m   ,     [OII], 7330  ,  0.  , 0.  ,   0. 
PN17m   ,   [ArIII], 7751  ,  0.  , 0.  ,   0. 
PN17m   ,    [SIII], 9069  ,  0.  , 0.  ,   0. 
PN29m   ,     [OII], 3727  ,305.2 , 2.4 , 507.4
PN29m   ,       HeI, 3805  ,  0.  , 0.  ,   0. 
PN29m   ,        HI, 3835  ,  0.  , 0.  ,   0. 
PN29m   ,   [NeIII], 3869  , 11.5 , 2.5 ,  18. 
PN29m   ,       HeI, 3889  , 31.6 , 2.4 ,  48.9
PN29m   ,[NeIII]/HI, 3968  ,  0.  , 0.  ,   0. 
PN29m   ,     [SII], 4070  ,  0.  , 0.  ,   0. 
PN29m   ,        HI, 4100  , 41.9 , 2.4 ,  59. 
PN29m   ,        HI, 4340  , 50.1 , 2.4 ,  63.3
PN29m   ,    [OIII], 4363  ,  0.  , 0.  ,   0. 
PN29m   ,       HeI, 4471  ,  0.  , 0.  ,   0. 
PN29m   ,      HeII, 4540  ,  0.  , 0.  ,   0. 
PN29m   ,      HeII, 4686  ,  0.  , 0.  ,   0. 
PN29m   ,HeI/[ArIV], 4712  ,  0.  , 0.  ,   0. 
PN29m   ,    [ArIV], 4740  ,  0.  , 0.  ,   0. 
PN29m   ,        HI, 4861  ,100.  , 3.1 , 100.1
PN29m   ,    [OIII], 4959  , 58.9 , 1.9 ,  56.4
PN29m   ,    [OIII], 5007  ,178.2 , 3.4 , 167.2
PN29m   ,      HeII, 5411  ,  0.  , 0.  ,   0. 
PN29m   ,     [NII], 5755  ,  1.5 , 0.2 ,   1.1
PN29m   ,       HeI, 5876  , 21.3 , 3.4 ,  14.6
PN29m   ,      [OI], 6300  ,  0.  , 0.  ,   0. 
PN29m   ,    [SIII], 6312  ,  0.  , 0.  ,   0. 
PN29m   ,      [OI], 6363  ,  0.  , 0.  ,   0. 
PN29m   ,     [NII], 6548  , 40.5 , 7.5 ,  23.5
PN29m   ,        HI, 6563  ,505.3 ,10.1 , 292.1
PN29m   ,     [NII], 6584  ,110.4 , 2.2 ,  63.5
PN29m   ,       HeI, 6678  ,  0.  , 0.  ,   0. 
PN29m   ,     [SII], 6717  , 36.8 , 2.5 ,  20.4
PN29m   ,     [SII], 6731  , 26.4 , 2.  ,  14.6
PN29m   ,       HeI, 6891  ,  0.  , 0.  ,   0. 
PN29m   ,     [ArV], 7005  ,  0.  , 0.  ,   0. 
PN29m   ,       HeI, 7065  ,  0.  , 0.  ,   0. 
PN29m   ,   [ArIII], 7135  , 19.9 , 1.9 ,  10. 
PN29m   ,     [OII], 7320  ,  0.  , 0.  ,   0. 
PN29m   ,     [OII], 7330  ,  0.  , 0.  ,   0. 
PN29m   ,   [ArIII], 7751  ,  0.  , 0.  ,   0. 
PN29m   ,    [SIII], 9069  ,  0.  , 0.  ,   0. 
PN33m   ,     [OII], 3727  ,307.4 , 5.  , 484.4
PN33m   ,       HeI, 3805  ,  0.  , 0.  ,   0. 
PN33m   ,        HI, 3835  ,  0.  , 0.  ,   0. 
PN33m   ,   [NeIII], 3869  ,  0.  , 0.  ,   0. 
PN33m   ,       HeI, 3889  ,  0.  , 0.  ,   0. 
PN33m   ,[NeIII]/HI, 3968  ,  0.  , 0.  ,   0. 
PN33m   ,     [SII], 4070  ,  0.  , 0.  ,   0. 
PN33m   ,        HI, 4100  ,  0.  , 0.  ,   0. 
PN33m   ,        HI, 4340  , 43.4 , 4.3 ,  53.5
PN33m   ,    [OIII], 4363  ,  0.  , 0.  ,   0. 
PN33m   ,       HeI, 4471  ,  0.  , 0.  ,   0. 
PN33m   ,      HeII, 4540  ,  0.  , 0.  ,   0. 
PN33m   ,      HeII, 4686  ,  0.  , 0.  ,   0. 
PN33m   ,HeI/[ArIV], 4712  ,  0.  , 0.  ,   0. 
PN33m   ,    [ArIV], 4740  ,  0.  , 0.  ,   0. 
PN33m   ,        HI, 4861  ,100.  , 5.  , 100. 
PN33m   ,    [OIII], 4959  , 47.  , 3.9 ,  45.2
PN33m   ,    [OIII], 5007  ,130.1 , 5.  , 122.7
PN33m   ,      HeII, 5411  ,  0.  , 0.  ,   0. 
PN33m   ,     [NII], 5755  ,  2.7 , 1.1 ,   2. 
PN33m   ,       HeI, 5876  ,  0.  , 0.  ,   0. 
PN33m   ,      [OI], 6300  ,  0.  , 0.  ,   0. 
PN33m   ,    [SIII], 6312  ,  0.  , 0.  ,   0. 
PN33m   ,      [OI], 6363  ,  0.  , 0.  ,   0. 
PN33m   ,     [NII], 6548  , 42.5 , 3.2 ,  26.1
PN33m   ,        HI, 6563  ,476.3 , 4.3 , 291.2
PN33m   ,     [NII], 6584  ,143.3 , 5.  ,  87.2
PN33m   ,       HeI, 6678  ,  0.  , 0.  ,   0. 
PN33m   ,     [SII], 6717  , 81.8 , 3.9 ,  48.3
PN33m   ,     [SII], 6731  , 57.1 , 2.8 ,  33.6
PN33m   ,       HeI, 6891  ,  0.  , 0.  ,   0. 
PN33m   ,     [ArV], 7005  ,  0.  , 0.  ,   0. 
PN33m   ,       HeI, 7065  ,  0.  , 0.  ,   0. 
PN33m   ,   [ArIII], 7135  ,  0.  , 0.  ,   0. 
PN33m   ,     [OII], 7320  ,  0.  , 0.  ,   0. 
PN33m   ,     [OII], 7330  ,  0.  , 0.  ,   0. 
PN33m   ,   [ArIII], 7751  ,  0.  , 0.  ,   0. 
